,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class;;
38,Better Than Ezra,Good,63.0,0.615,0.657,7.0,-6.873,1.0,0.029,0.000372,0.0204,0.132,0.792,109.95,185093.0,4.0,10.0
40,Silversun Pickups,Lazy Eye,65.0,0.633,0.831,4.0,-5.053,1.0,0.0461,0.0401,0.693,0.117,0.243,127.397,354360.0,4.0,10.0
42,Orange Juice,Rip It Up,55.0,0.881,0.546,7.0,-9.357,1.0,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413.0,4.0,6.0
43,U2,The Blackout,49.0,0.624,0.528,9.0,-9.103,0.0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,285933.0,4.0,10.0
46,Victor Manu,Raphaela,47.0,0.494,0.0634,2.0,-19.203,1.0,0.044,0.984,0.926,0.11,0.15,78.227,3.014916667,4.0,7.0
47,The Last Shadow Puppets,Bad Habits,49.0,0.52,0.642,9.0,-7.546,1.0,0.0434,0.000517,0.0017,0.0794,0.449,88.967,180968.0,4.0,10.0
51,Veruca Salt,Seether,47.0,0.612,0.86,8.0,-9.175,1.0,0.044,0.00253,0.00153,0.158,0.687,136.212,196467.0,4.0,1.0
53,BENEE,C U,53.0,0.521,0.532,9.0,-11.492,0.0,0.0357,0.563,0.000435,0.386,0.326,95.19,180533.0,4.0,9.0
54,Berry Sakharof,נפתלי הדג,18.0,0.501,0.474,2.0,-13.893,1.0,0.0299,0.608,0.885,0.147,0.281,102.404,352267.0,4.0,10.0
55,Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,0.865,9.0,-10.522,1.0,0.0576,0.000632,0.807,0.112,0.0789,84.031,207465.0,3.0,6.0
56,Dion,Blues Comin’ On,34.0,0.532,0.685,4.0,-6.577,0.0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288071.0,4.0,2.0
58,Soen,Lotus,49.0,0.425,0.403,4.0,-9.343,0.0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323931.0,4.0,10.0
59,Vani Jairam,Bole Re Papihara,20.0,0.373,0.707,1.0,-9.566,0.0,0.0562,0.668,3.68e-05,0.361,0.75,89.1,3.578883333,4.0,3.0
61,The Pretty Things,She's a Lover,38.0,0.439,0.795,2.0,-9.424,1.0,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067.0,4.0,6.0
63,BLAB,Casual Sex,26.0,0.709,0.685,2.0,-7.573,1.0,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194567.0,4.0,1.0
66,El Goodo,Feel so Fine,30.0,0.247,0.88,2.0,-3.057,1.0,0.097,2.01e-05,0.309,0.122,0.333,134.445,237493.0,4.0,10.0
68,Why Bonnie,Athlete,24.0,0.539,0.578,4.0,-8.522,1.0,0.0278,0.0987,0.000923,0.28,0.353,102.03,191890.0,4.0,10.0
71,Turbo Knight,Rasengan,43.0,0.436,0.944,10.0,-7.981,1.0,0.0398,0.0035,0.972,0.105,0.588,110.002,307545.0,4.0,6.0
73,Radiohead,Burn the Witch,57.0,0.54,0.847,11.0,-6.52,1.0,0.0297,0.303,0.272,0.109,0.62,148.936,220609.0,4.0,10.0
74,Oceans,Shark Tooth,42.0,0.435,0.889,11.0,-6.462,0.0,0.0474,2.38e-05,0.000872,0.87,0.344,93.896,198345.0,4.0,8.0
76,The Stranglers,Golden Brown,71.0,0.562,0.383,6.0,-15.474,1.0,0.0304,0.143,0.124,0.138,0.599,93.764,206760.0,3.0,10.0
78,Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,2.0,-4.867,1.0,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4.0,10.0
79,LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,0.974,8.0,-4.295,1.0,0.115,0.000546,0.225,0.336,0.257,108.946,229617.0,4.0,8.0
81,Keller Williams,Right Here,43.0,0.633,0.194,8.0,-14.543,1.0,0.0729,0.885,0.404,0.111,0.421,143.376,348383.0,4.0,2.0
82,Primal Scream,Movin' on Up,63.0,0.523,0.76,5.0,-12.437,1.0,0.0325,0.103,0.00068,0.0666,0.581,94.267,228267.0,4.0,10.0
83,Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.438,10.0,-13.451,0.0,0.028,0.883,0.0167,0.317,0.758,130.225,136560.0,3.0,2.0
84,Drake,Passionfruit,81.0,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4.0,9.0
85,Abstract Orchestra,New Day,45.0,0.748,0.411,8.0,-6.06,0.0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052.0,4.0,5.0
86,Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,2.0,-13.696,1.0,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187827.0,4.0,2.0
90,R.E.M.,Drive,62.0,0.467,0.432,7.0,-11.753,1.0,0.0283,0.175,0.001,0.226,0.238,142.642,271333.0,4.0,10.0
97,Howie Lee,Birdy Island,24.0,0.491,0.504,4.0,-13.581,0.0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4.0,6.0
98,Pit Pony,Dutch Courage,25.0,0.117,0.916,1.0,-3.281,1.0,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4.0,1.0
99,Niko B,Who's That What's That,63.0,0.86,0.668,7.0,-8.512,1.0,0.221,0.423,1.85e-06,0.096,0.237,128.096,240000.0,4.0,9.0
100,Ruthi Navon,חשמל בכפות ידיך,22.0,0.766,0.526,10.0,-11.819,1.0,0.0392,0.784,0.000214,0.0879,0.934,141.631,238000.0,4.0,10.0
102,Gossip,Standing In the Way of Control,55.0,0.697,0.919,7.0,-6.174,1.0,0.029,0.00694,0.0621,0.203,0.943,118.341,256400.0,4.0,6.0
103,Gone Is Gone,Breaks,28.0,0.407,0.932,11.0,-6.252,1.0,0.113,0.00363,0.346,0.229,0.173,102.954,235214.0,4.0,8.0
104,Violent Soho,Covered in Chrome,55.0,0.564,0.753,5.0,-5.223,1.0,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,212547.0,4.0,10.0
105,Mr. Oizo,Positif,44.0,0.744,0.928,10.0,-5.628,0.0,0.0495,0.000409,0.624,0.132,0.507,123.014,171120.0,4.0,6.0
107,Carusella,Star Quality,11.0,0.431,0.967,1.0,-4.555,1.0,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4.0,6.0
109,FLO,D's,66.0,0.266,0.294,7.0,-11.938,0.0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077.0,3.0,9.0
110,Pathiena,The Deepest Of Sorrow,40.0,0.645,0.329,2.0,-16.642,1.0,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333,4.0,0.0
112,Pain of Salvation,Meaningless,42.0,0.579,0.661,7.0,-4.011,1.0,0.0422,0.0675,0.000373,0.303,0.374,144.909,287467.0,3.0,10.0
114,Black Sabbath,Paranoid,16.0,0.426,0.619,4.0,-11.501,0.0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,2.80733333,4.0,10.0
115,The Dark Element,Songs the Night Sings,47.0,0.449,0.854,3.0,-8.261,1.0,0.0431,4.62e-05,0.016,0.246,0.408,152.142,309827.0,4.0,8.0
119,The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,0.551,9.0,-9.898,0.0,0.0582,0.181,0.00719,0.15,0.516,115.896,201213.0,4.0,10.0
120,Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,0.754,8.0,-11.636,0.0,0.0344,0.678,0.0442,0.0756,0.922,135.01,6.05555,3.0,3.0
123,benny blanco,Care (with Omar Apollo),50.0,0.618,0.215,2.0,-12.8,1.0,0.04,0.759,0.00962,0.109,0.214,90.004,290466.0,4.0,1.0
124,The 1975,She's American,57.0,0.639,0.859,1.0,-3.923,1.0,0.0554,0.18,0.000499,0.0798,0.523,115.97,270104.0,4.0,10.0
125,Winger,Seventeen,60.0,0.577,0.676,8.0,-11.931,1.0,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,245267.0,4.0,8.0
126,Townes Van Zandt,Waitin' Around To Die,52.0,0.551,0.233,6.0,-18.251,0.0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187.0,4.0,6.0
127,Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,2.0,-10.159,0.0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205533.0,4.0,10.0
129,Thirty Seconds To Mars,Dangerous Night,56.0,0.295,0.715,2.0,-6.533,1.0,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,199773.0,4.0,10.0
131,Peter Case,Bumble Bee,45.0,0.717,0.245,7.0,-10.908,0.0,0.0493,0.665,0.000119,0.385,0.502,83.554,214933.0,4.0,2.0
132,Menahan Street Band,Queens Highway,50.0,0.778,0.399,1.0,-8.984,1.0,0.0858,0.0751,0.835,0.103,0.321,137.305,67720.0,4.0,1.0
133,Butcher Babies,Sleeping with the Enemy,48.0,0.438,0.951,7.0,-5.192,0.0,0.0736,4.63e-05,0.233,0.351,0.461,165.088,212927.0,4.0,8.0
134,MICROCORPS,DOR,10.0,0.451,0.776,3.0,-11.756,0.0,0.0587,0.0518,0.703,0.11,0.609,177.953,331304.0,4.0,6.0
135,Sarah Palu,Ikivirta,38.0,0.617,0.375,5.0,-11.889,0.0,0.0319,0.742,0.513,0.109,0.117,151.983,387547.0,4.0,1.0
137,JADHU,Fling,32.0,0.62,0.835,9.0,-6.711,0.0,0.0319,0.273,0.00339,0.113,0.699,99.022,225072.0,4.0,9.0
138,Bring Me The Horizon,Parasite Eve,69.0,0.589,0.797,9.0,-5.464,1.0,0.15,0.0289,4.35e-06,0.383,0.232,102.489,291813.0,4.0,10.0
139,Frost*,Day and Age - Edit,38.0,0.443,0.858,8.0,-6.935,1.0,0.0378,0.000843,0.00243,0.18,0.34,169.951,301533.0,4.0,8.0
140,Toto Espinoza,Frida Kahlo,41.0,0.605,0.162,4.0,-12.932,0.0,0.0353,0.98,0.899,0.104,0.126,95.576,5.735216667,3.0,7.0
141,T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,1.0,-11.64,1.0,0.0621,0.904,0.0263,0.0825,0.551,51.0,156933.0,4.0,2.0
143,Jimi Hendrix,Purple Haze,71.0,0.533,0.905,2.0,-5.27,1.0,0.0754,0.00876,0.578,0.0698,0.486,108.9,2.84688333,4.0,10.0
144,Eskiz,Aborjinin Türküsü,21.0,0.588,0.747,7.0,-6.064,1.0,0.0498,0.116,7.2e-05,0.244,0.263,138.067,249000.0,4.0,10.0
145,Lowest Creature,Reapers Fool,23.0,0.487,0.975,11.0,-4.974,1.0,0.105,7.47e-05,0.0183,0.201,0.526,139.964,202019.0,4.0,8.0
146,Tomer Yeshayahu,בלי לעזוב,30.0,0.621,0.375,5.0,-11.8,1.0,0.0297,0.701,1.2e-06,0.122,0.508,132.611,219625.0,4.0,9.0
150,S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.548,0.347,7.0,-14.7,0.0,0.0362,0.771,0.00175,0.124,0.498,117.75,6.90355,4.0,3.0
151,Scary Kids Scaring Kids,Holding On,49.0,0.421,0.935,8.0,-5.153,0.0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261240.0,4.0,10.0
152,Lawrence of Arcadia,David Keenan,30.0,0.524,0.336,2.0,-8.034,1.0,0.0415,0.841,0.00118,0.111,0.458,110.964,4.757883333,5.0,0.0
153,Nirvana,In Bloom,65.0,0.436,0.876,10.0,-4.902,0.0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,255080.0,4.0,1.0
156,Ghali,Combo (feat. Mr Eazi),41.0,0.825,0.781,9.0,-4.732,0.0,0.107,0.0833,3.55e-05,0.26,0.812,100.013,176012.0,4.0,9.0
157,Gwar,Sick of You,48.0,0.657,0.535,1.0,-9.715,1.0,0.047,0.000329,0.000492,0.318,0.738,132.257,188830.0,4.0,8.0
159,Blue Material,Blue Blood,37.0,0.621,0.602,9.0,-7.796,0.0,0.0279,0.000316,0.853,0.134,0.609,116.011,230152.0,4.0,6.0
160,Sempra,B Mine?,19.0,0.754,0.92,3.0,-4.484,0.0,0.05,0.183,0.689,0.187,0.966,147.998,266133.0,4.0,1.0
161,Malcolm McLaren,Buffalo Gals,41.0,0.881,0.636,4.0,-13.617,0.0,0.156,0.0257,0.000257,0.207,0.616,108.863,259427.0,4.0,5.0
162,Arcade Fire,Ready to Start,58.0,0.282,0.932,9.0,-4.701,1.0,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893.0,4.0,10.0
163,Bad Nerves,Dreaming,32.0,0.449,0.958,6.0,-6.602,0.0,0.123,5.33e-06,0.000116,0.148,0.389,107.458,129373.0,4.0,6.0
164,3 Doors Down,Your Arms Feel Like home,37.0,0.548,0.709,9.0,-6.557,0.0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,224213.0,4.0,10.0
165,ARXX,Deep,33.0,0.65,0.6,9.0,-10.615,0.0,0.04,0.0278,0.00121,0.811,0.795,110.016,180203.0,4.0,10.0
166,Crown Lands,Howlin' Back Again,39.0,0.494,0.969,6.0,-2.694,1.0,0.222,0.172,0.00158,0.148,0.165,121.214,169808.0,4.0,10.0
167,The Undercover Dream Lovers,Get to You,42.0,0.761,0.707,5.0,-6.208,0.0,0.0356,0.68,0.421,0.0969,0.893,113.976,208421.0,4.0,6.0
168,A Scent Like Wolves,Telephone,39.0,0.553,0.939,3.0,-4.04,0.0,0.0795,0.000833,0.000181,0.404,0.369,124.984,198840.0,4.0,8.0
171,Madhav Gopi Nair,Mukti,17.0,0.349,0.336,4.0,-11.111,1.0,0.0292,0.723,0.913,0.154,0.062,112.966,111765.0,5.0,6.0
173,Advaita,Ghir Ghir,33.0,0.601,0.728,4.0,-10.469,1.0,0.0436,0.378,0.726,0.368,0.862,137.99,5.09355,3.0,0.0
174,John Campbell,Devil in My Closet,30.0,0.353,0.495,8.0,-11.503,1.0,0.0344,0.000119,0.0119,0.13,0.567,81.018,360600.0,4.0,2.0
176,Gymshorts,Gotta Get Away,23.0,0.15,0.843,9.0,-8.369,1.0,0.0439,0.000127,0.502,0.665,0.729,180.034,145932.0,4.0,1.0
177,Liz Phair,Fuck and Run,47.0,0.774,0.64,2.0,-7.949,1.0,0.0333,0.743,0.0316,0.088,0.947,136.226,187933.0,4.0,1.0
178,Stephen Taranto,Pixel Heart: Verdant,28.0,0.373,0.964,11.0,-7.925,0.0,0.0798,0.000152,0.791,0.109,0.207,83.958,312363.0,4.0,8.0
179,Deep Purple,Gettin' Tighter,43.0,0.42,0.831,7.0,-9.069,1.0,0.0754,0.00028,0.0711,0.153,0.752,120.867,218173.0,4.0,10.0
182,Post Malone,Motley Crew,90.0,0.797,0.631,3.0,-3.818,0.0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,3.07021667,4.0,9.0
183,Yehudit Ravitz,רחבת הריקודים,20.0,0.418,0.761,9.0,-8.285,1.0,0.0557,0.295,1.37e-06,0.36,0.467,152.472,298693.0,4.0,10.0
186,Charlie Puth,Cheating on You,75.0,0.749,0.535,4.0,-6.785,1.0,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,196607.0,4.0,9.0
187,Ravid Plotnik,נענע,46.0,0.709,0.337,7.0,-13.14,1.0,0.106,0.447,0.000162,0.846,0.387,68.0,320333.0,4.0,5.0
188,Ulver,Little Boy,33.0,0.283,0.41,4.0,-14.35,1.0,0.0423,0.00106,0.287,0.109,0.0612,91.127,323430.0,4.0,10.0
189,Alien Ant Farm,Smooth Criminal,75.0,0.653,0.964,9.0,-4.261,0.0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,4.0,9.0
190,Live,Selling The Drama,57.0,0.45,0.914,6.0,-6.741,1.0,0.0647,0.0106,8.18e-05,0.101,0.336,124.42,208293.0,4.0,10.0
191,Something Corporate,Punk Rock Princess,51.0,0.522,0.881,7.0,-5.231,1.0,0.0847,0.00303,0.000147,0.0939,0.369,130.084,232200.0,4.0,10.0
193,Enamour,Dragonfly,32.0,0.754,0.795,7.0,-9.793,0.0,0.0384,0.0186,0.906,0.0852,0.21,122.007,259606.0,4.0,9.0
194,mehro,chance with you,52.0,0.562,0.494,4.0,-8.13,0.0,0.0278,0.864,0.0259,0.153,0.383,144.104,215516.0,4.0,9.0
195,Christian Löffler,Pastoral,55.0,0.163,0.191,10.0,-20.924,1.0,0.0365,0.937,0.959,0.0961,0.0335,105.104,220630.0,3.0,1.0
197,Rosie Flores,Simple Case of the Blues,38.0,0.65,0.63,11.0,-6.787,0.0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4.0,2.0
198,Ayron Jones,Take Me Away,57.0,0.475,0.844,1.0,-4.448,0.0,0.0622,0.00012,0.111,0.221,0.554,156.136,246933.0,4.0,10.0
199,Dream Drop,Reckless Demon Youth,35.0,0.375,0.927,6.0,-5.385,0.0,0.123,0.000111,8.99e-06,0.193,0.414,183.998,183040.0,4.0,8.0
202,Eagles,Life in the Fast Lane - 2013 Remaster,72.0,0.667,0.755,9.0,-7.246,1.0,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,4.77033333,4.0,10.0
204,Icon of Sin,Virtual Empire,33.0,0.494,0.958,4.0,-7.765,0.0,0.0511,0.0361,0.000226,0.387,0.313,145.055,352943.0,4.0,8.0
205,Spirit Adrift,Supernaut,32.0,0.425,0.925,7.0,-6.246,1.0,0.105,2.22e-05,0.0723,0.0973,0.313,118.066,282978.0,4.0,8.0
206,Shlomo Artzi,להציל אותך,29.0,0.605,0.772,1.0,-6.679,0.0,0.0262,0.298,1.96e-05,0.131,0.836,129.99,280360.0,4.0,10.0
208,The Rapture,How Deep Is Your Love?,52.0,0.472,0.826,9.0,-3.938,0.0,0.0594,0.000617,0.000713,0.187,0.132,122.326,385920.0,4.0,10.0
210,Morgan Evans,Love Is Real,58.0,0.645,0.732,3.0,-5.089,1.0,0.0453,0.00853,2.62e-05,0.198,0.708,95.02,2.716216667,4.0,4.0
211,Habalyanim,שוביניסט,15.0,0.522,0.769,10.0,-5.841,0.0,0.191,0.104,0.000114,0.0643,0.793,189.803,240307.0,4.0,10.0
212,Wilco,Random Name Generator,39.0,0.621,0.962,2.0,-6.469,1.0,0.0454,0.282,0.126,0.132,0.653,143.99,229489.0,4.0,6.0
214,Gabi Shoshan,ילדה קטנה,27.0,0.688,0.544,7.0,-11.393,0.0,0.037,0.576,0.000231,0.0894,0.633,135.231,240693.0,4.0,10.0
215,Brothers Osborne,I Don't Remember Me (Before You),61.0,0.614,0.614,4.0,-7.497,0.0,0.0314,0.104,3.59e-05,0.104,0.598,146.03,3.211333333,4.0,4.0
218,DIIV,Skin Game,43.0,0.484,0.754,6.0,-6.326,0.0,0.0383,0.00011,0.806,0.123,0.399,124.971,265467.0,4.0,10.0
219,The Swellers,The Best I Ever Had,49.0,0.359,0.983,2.0,-3.69,0.0,0.0864,9.09e-05,3.54e-05,0.335,0.486,193.042,239560.0,4.0,10.0
221,Emery,Walls,46.0,0.274,0.915,1.0,-5.259,0.0,0.167,0.0139,7.37e-05,0.161,0.419,169.161,203707.0,4.0,10.0
222,Lionel Richie,Stuck On You - Live,22.0,0.439,0.682,4.0,-9.044,1.0,0.042,0.113,1.1e-05,0.973,0.345,142.113,4.33955,4.0,9.0
223,Oren Barzilay,רק אותך,17.0,0.636,0.616,7.0,-9.267,1.0,0.0589,0.0521,5.14e-05,0.192,0.48,82.99,207030.0,4.0,10.0
224,Foo Fighters,All My Life,73.0,0.577,0.604,5.0,-5.703,1.0,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440.0,4.0,10.0
229,Hadag Nahash,רסיסים על החוף,27.0,0.631,0.547,4.0,-8.488,0.0,0.119,0.35,2.7e-05,0.113,0.719,164.988,204030.0,4.0,9.0
230,Julia Jacklin,Pressure To Party,48.0,0.471,0.811,4.0,-3.956,1.0,0.0389,0.000125,4.08e-05,0.117,0.37,141.967,182307.0,4.0,6.0
233,No Somos Marineros,Los Bajos Fondos,33.0,0.483,0.603,4.0,-9.907,1.0,0.0386,0.348,0.878,0.0911,0.0907,179.392,173107.0,3.0,10.0
236,Acollective,Happiest of All Memorial Days,37.0,0.412,0.51,6.0,-8.276,0.0,0.0298,0.348,0.57,0.0787,0.23,147.904,281093.0,4.0,6.0
237,No Memories of Tomorrow,Graeme James,8.0,0.579,0.304,2.0,-14.271,0.0,0.0301,0.751,0.0612,0.129,0.479,129.867,4.34655,4.0,0.0
240,Apoorva Krishna,Tinky Winky,13.0,0.293,0.877,7.0,-4.172,1.0,0.0486,0.0849,0.392,0.0787,0.87,171.47,317784.0,4.0,6.0
241,Ronnie Robinson Trio,Pent-Up House,38.0,0.674,0.335,7.0,-13.903,1.0,0.0444,0.885,0.914,0.101,0.662,168.741,2.303233333,3.0,7.0
244,Allegaeon,Concerto in Dm,35.0,0.556,0.969,2.0,-3.778,1.0,0.0402,0.000119,0.829,0.378,0.325,103.994,441035.0,4.0,8.0
245,Quami,Squeeze Me,17.0,0.694,0.907,9.0,-3.854,1.0,0.0458,0.0765,6.2e-05,0.13,0.573,114.98,290600.0,4.0,5.0
246,Oasis,Whatever,56.0,0.247,0.913,7.0,-2.437,1.0,0.0388,0.0418,0.00839,0.257,0.34,91.157,382267.0,4.0,6.0
247,Ghost Iris,Coda,43.0,0.489,0.994,1.0,-2.236,0.0,0.113,2.05e-05,0.00683,0.333,0.218,90.015,243000.0,4.0,8.0
248,Slowdive,Alison,60.0,0.276,0.449,4.0,-11.428,1.0,0.0375,0.00782,0.783,0.108,0.278,101.687,230987.0,4.0,6.0
249,Billie Eilish,I Didn't Change My Number,77.0,0.849,0.48,9.0,-5.835,1.0,0.226,0.612,0.269,0.295,0.677,142.021,2.64105,4.0,9.0
250,Garbage,Wolves - Edit,18.0,0.484,0.956,5.0,-6.388,0.0,0.0357,2.59e-05,0.705,0.257,0.643,145.004,219541.0,4.0,10.0
251,Britney Spears,Liar,40.0,0.59,0.776,6.0,-5.272,0.0,0.0705,0.00705,1.69e-05,0.414,0.81,159.946,3.276883333,4.0,9.0
252,Ruff Sqwad,Functions On the Low,37.0,0.737,0.649,8.0,-7.709,0.0,0.142,0.816,0.147,0.201,0.579,139.961,282067.0,4.0,5.0
254,Manal,Casa Con Diez Pinos,34.0,0.528,0.563,2.0,-6.975,1.0,0.041,0.706,0.0155,0.149,0.652,168.403,254467.0,3.0,2.0
255,The Black Keys,Little Black Submarines,67.0,0.365,0.466,2.0,-7.514,1.0,0.0418,0.161,6.68e-06,0.106,0.487,95.163,251267.0,4.0,10.0
